route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,cars_allowed
1,16,164,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,165,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,166,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,167,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,168,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,169,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,170,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,171,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,172,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,173,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,174,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,175,Dalen (Iniö)-Keistiö,0,,,1,1
1,16,176,Dalen (Iniö)-Keistiö,0,,,1,1
1,1,177,Keistiö-Dalen (Iniö),0,,,1,1
1,1,178,Keistiö-Dalen (Iniö),0,,,1,1
1,1,179,Keistiö-Dalen (Iniö),0,,,1,1
1,1,180,Keistiö-Dalen (Iniö),0,,,1,1
1,1,181,Keistiö-Dalen (Iniö),0,,,1,1
1,1,182,Keistiö-Dalen (Iniö),0,,,1,1
1,1,183,Keistiö-Dalen (Iniö),0,,,1,1
1,1,184,Keistiö-Dalen (Iniö),0,,,1,1
1,1,185,Keistiö-Dalen (Iniö),0,,,1,1
1,1,186,Keistiö-Dalen (Iniö),0,,,1,1
1,1,187,Keistiö-Dalen (Iniö),0,,,1,1
1,1,188,Keistiö-Dalen (Iniö),0,,,1,1
1,1,189,Keistiö-Dalen (Iniö),0,,,1,1
1,1,190,Keistiö-Dalen (Iniö),0,,,1,1
1,1,191,Keistiö-Dalen (Iniö),0,,,1,1
1,1,192,Keistiö-Dalen (Iniö),0,,,1,1
1,2,193,Keistiö-Dalen (Iniö),0,,,1,1
1,3,194,Keistiö-Dalen (Iniö),0,,,1,1
1,3,195,Keistiö-Dalen (Iniö),0,,,1,1
1,3,196,Keistiö-Dalen (Iniö),0,,,1,1
1,3,197,Keistiö-Dalen (Iniö),0,,,1,1
1,3,198,Keistiö-Dalen (Iniö),0,,,1,1
1,3,199,Keistiö-Dalen (Iniö),0,,,1,1
1,3,200,Keistiö-Dalen (Iniö),0,,,1,1
1,3,201,Keistiö-Dalen (Iniö),0,,,1,1
1,3,202,Keistiö-Dalen (Iniö),0,,,1,1
1,3,203,Keistiö-Dalen (Iniö),0,,,1,1
1,3,204,Keistiö-Dalen (Iniö),0,,,1,1
1,3,205,Keistiö-Dalen (Iniö),0,,,1,1
1,3,206,Keistiö-Dalen (Iniö),0,,,1,1
1,3,207,Keistiö-Dalen (Iniö),0,,,1,1
1,4,208,Keistiö-Dalen (Iniö),0,,,1,1
1,4,209,Keistiö-Dalen (Iniö),0,,,1,1
1,4,210,Keistiö-Dalen (Iniö),0,,,1,1
1,4,211,Keistiö-Dalen (Iniö),0,,,1,1
1,4,212,Keistiö-Dalen (Iniö),0,,,1,1
1,4,213,Keistiö-Dalen (Iniö),0,,,1,1
1,4,214,Keistiö-Dalen (Iniö),0,,,1,1
1,4,215,Keistiö-Dalen (Iniö),0,,,1,1
1,4,216,Keistiö-Dalen (Iniö),0,,,1,1
1,4,217,Keistiö-Dalen (Iniö),0,,,1,1
1,4,218,Keistiö-Dalen (Iniö),0,,,1,1
1,4,219,Keistiö-Dalen (Iniö),0,,,1,1
1,4,220,Keistiö-Dalen (Iniö),0,,,1,1
1,5,221,Keistiö-Dalen (Iniö),0,,,1,1
1,5,222,Keistiö-Dalen (Iniö),0,,,1,1
1,5,223,Keistiö-Dalen (Iniö),0,,,1,1
1,5,224,Keistiö-Dalen (Iniö),0,,,1,1
1,5,225,Keistiö-Dalen (Iniö),0,,,1,1
1,5,226,Keistiö-Dalen (Iniö),0,,,1,1
1,5,227,Keistiö-Dalen (Iniö),0,,,1,1
1,5,228,Keistiö-Dalen (Iniö),0,,,1,1
1,5,229,Keistiö-Dalen (Iniö),0,,,1,1
1,5,230,Keistiö-Dalen (Iniö),0,,,1,1
1,5,231,Keistiö-Dalen (Iniö),0,,,1,1
1,5,232,Keistiö-Dalen (Iniö),0,,,1,1
1,5,233,Keistiö-Dalen (Iniö),0,,,1,1
1,5,234,Keistiö-Dalen (Iniö),0,,,1,1
1,5,235,Keistiö-Dalen (Iniö),0,,,1,1
1,5,236,Keistiö-Dalen (Iniö),0,,,1,1
1,6,237,Keistiö-Dalen (Iniö),0,,,1,1
1,7,238,Keistiö-Dalen (Iniö),0,,,1,1
